employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
Sargento,SARGENTO,Bellingham,,WA,2013-04-11,2013-05-03,34,Permanent,https://esd.wa.gov/about-employees/WARN
First A.M.E. Child Development Center,FIRST A M E CHILD DEVELOPMENT CENTER,Seattle,,WA,2013-04-10,2013-06-30,45,Permanent,https://esd.wa.gov/about-employees/WARN
Boeing,BOEING,Puget Sound,,WA,2013-04-08,2013-06-07,939,Permanent,https://esd.wa.gov/about-employees/WARN
AmerisourceBergen Drug Corporation,AMERISOURCEBERGEN DRUG,Thorofare,,NJ,,2013-04-05,72,,https://www.nj.gov/labor/employer-services/warn/
The Estee Lauder Companies Inc.,THE ESTEE LAUDER COMPANIES,Oakland,,NJ,,2013-04-01,116,,https://www.nj.gov/labor/employer-services/warn/
Vertis Communicaton,VERTIS COMMUNICATON,North Brunswick,,NJ,,2013-04-01,133,,https://www.nj.gov/labor/employer-services/warn/
Northrop Grumman Information Systems Intelligence Systems Division,NORTHROP GRUMMAN INFORMATION SYSTEMS INTELLIGENCE SYSTEMS DIVISION,Reston VA,,VA,2013-03-31,,10,,https://www.vec.virginia.gov/warn-notices
The Atlantaic Club Casino,THE ATLANTAIC CLUB CASINO,Atlantic City,,NJ,,2013-03-29,1729,,https://www.nj.gov/labor/employer-services/warn/
Hess Corporation,HESS,Port Reading,,NJ,,2013-03-29,170,,https://www.nj.gov/labor/employer-services/warn/
Lockheed Martin,LOCKHEED MARTIN,Suffolk & Virginia Beach VA,,VA,2013-03-28,,59,,https://www.vec.virginia.gov/warn-notices
"Sykes Enterprises, Incorporated",SYKES ENTERPRISES,Spokane Valley,,WA,2013-03-26,2013-05-26,148,Permanent,https://esd.wa.gov/about-employees/WARN
SAIC,SAIC,Falls Church VA,,VA,2013-03-22,,150,Permanent Reduction,https://www.vec.virginia.gov/warn-notices
1859 Historic Hotels Ltd. (Williamsburg Hospitality House),1859 HISTORIC HOTELS (WILLIAMSBURG HOSPITALITY HOUSE),Williamsburg VA,,VA,2013-03-22,,110,,https://www.vec.virginia.gov/warn-notices
The Examiner,THE EXAMINER,Springfield VA,,VA,2013-03-19,,65,,https://www.vec.virginia.gov/warn-notices
Kroger Food Stores,KROGER FOOD STORES,Farmville VA,,VA,2013-03-19,,80,,https://www.vec.virginia.gov/warn-notices
American Suzuki Motor Corporation,AMERICAN SUZUKI MOTOR,Brea,,NJ,,2013-03-14,1,,https://www.nj.gov/labor/employer-services/warn/
TRI-ARK,TRI-ARK,Arlington VA,,VA,2013-03-11,,80,,https://www.vec.virginia.gov/warn-notices
OMNISEC International Security Services INC.,OMNISEC INTERNATIONAL SECURITY,Arlington VA,,VA,2013-03-08,,99,,https://www.vec.virginia.gov/warn-notices
INOVA,INOVA,Falls Church VA,,VA,2013-03-07,,438,,https://www.vec.virginia.gov/warn-notices
SERCO Inc.*,SERCO *,Harrisonburg VA,,VA,2013-03-06,,75,,https://www.vec.virginia.gov/warn-notices
SERCO Inc.*,SERCO *,Chesapeake VA,,VA,2013-03-06,,216,,https://www.vec.virginia.gov/warn-notices
"Semiahmoo Resort Company, LLC",SEMIAHMOO RESORT,Blaine,,WA,2013-03-06,2013-05-03,107,Permanent,https://esd.wa.gov/about-employees/WARN
AC SLOTS,AC SLOTS,Pleasantville,,NJ,,2013-03-04,100,,https://www.nj.gov/labor/employer-services/warn/
United Airlines,UNITED AIRLINES,Newark,,NJ,,2013-03-04,472,,https://www.nj.gov/labor/employer-services/warn/
Horizon Blue Cross Blue Shield of New Jersey,HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY,Newark,,NJ,,2013-03-01,96,,https://www.nj.gov/labor/employer-services/warn/
Advanced Federal,ADVANCED FEDERAL,Fort Eustis VA,,VA,2013-03-01,,72,,https://www.vec.virginia.gov/warn-notices
NSC Technologies Worldwide*,NSC WORLDWIDE*,Portsmouth VA,,VA,2013-02-22,,0,,https://www.vec.virginia.gov/warn-notices
BAE Systems Norfolk Ship Repair Inc.*,BAE SYSTEMS NORFOLK SHIP REPAIR *,Norfolk VA,,VA,2013-02-22,,0,,https://www.vec.virginia.gov/warn-notices
Central Parking,CENTRAL PARKING,Bellevue,,WA,2013-02-21,2013-02-28,102,Permanent,https://esd.wa.gov/about-employees/WARN
Stage Stores (Peebles),STAGE STORES (PEEBLES),South Hill VA,,VA,2013-02-20,,50,Permanent Reduction,https://www.vec.virginia.gov/warn-notices
Genuardi's,GENUARDI'S,Marlton,,NJ,,2013-02-15,98,,https://www.nj.gov/labor/employer-services/warn/
Advanced Federal Services Corporation,ADVANCED FEDERAL,Fort Lee VA,,VA,2013-02-15,,96,Layoff,https://www.vec.virginia.gov/warn-notices
Knight Capital Group,KNIGHT CAPITAL GROUP,Jersey City,,NJ,,2013-02-12,45,,https://www.nj.gov/labor/employer-services/warn/
SunCoke Energy Inc. (Jewell Coal Mine),SUNCOKE ENERGY (JEWELL COAL MINE),Oakwood VA,,VA,2013-02-08,,51,Closure,https://www.vec.virginia.gov/warn-notices
Alpha Natural Resources (Paramont Coal Company Virginia LLC),ALPHA NATURAL RESOURCES (PARAMONT COAL VIRGINIA ),McFall VA,,VA,2013-02-08,,84,Closure,https://www.vec.virginia.gov/warn-notices
Alpha Natural Resources (Mill Branch Coal Corp),ALPHA NATURAL RESOURCES (MILL BRANCH COAL ),Appalachia VA,,VA,2013-02-08,,102,Closure,https://www.vec.virginia.gov/warn-notices
HSBC,HSBC,Chesapeake VA,,VA,2013-02-07,,164,Closure,https://www.vec.virginia.gov/warn-notices
Andrew LLC,ANDREW,Warren,,NJ,,2013-02-04,41,,https://www.nj.gov/labor/employer-services/warn/
Horizon Blue Cross Blue Shield of New Jersey,HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY,Harrison,,NJ,,2013-02-01,62,,https://www.nj.gov/labor/employer-services/warn/
Teleflex,TELEFLEX,Lumberton,,NJ,,2013-02-01,153,,https://www.nj.gov/labor/employer-services/warn/
NRG Energy,NRG ENERGY,Alexandria VA,,VA,2013-02-01,,11,Closure,https://www.vec.virginia.gov/warn-notices
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2013-01-31,14,,https://www.nj.gov/labor/employer-services/warn/
Levy Premium Foodservice LP,LEVY PREMIUM FOODSERVICE,Seattle,,WA,2013-01-30,2013-02-26,363,Permanent,https://esd.wa.gov/about-employees/WARN
Briggs Nursery,BRIGGS NURSERY,Porter,,WA,2013-01-28,2013-01-25,150,Permanent,https://esd.wa.gov/about-employees/WARN
Serco,SERCO,Merrifield VA,,VA,2013-01-25,,82,,https://www.vec.virginia.gov/warn-notices
Kmart,KMART,Linden,,NJ,,2013-01-20,85,,https://www.nj.gov/labor/employer-services/warn/
Katana Summit,KATANA SUMMIT,Ephrata,,WA,2013-01-18,2012-12-31,81,Permanent,https://esd.wa.gov/about-employees/WARN
Kmart,KMART,Seattle,,WA,2013-01-15,2013-03-10,85,Permanent,https://esd.wa.gov/about-employees/WARN
Bristol Myers Squibb Company,BRISTOL MYERS SQUIBB,Plainsboro,,NJ,,2013-01-14,137,,https://www.nj.gov/labor/employer-services/warn/
International Veneer Company Inc.,INTERNATIONAL VENEER,South Hill VA,,VA,2013-01-14,,100,Layoff,https://www.vec.virginia.gov/warn-notices
American Suzuki Motor Corporation,AMERICAN SUZUKI MOTOR,Snohomish and Spokane Counties,,WA,2013-01-14,2013-03-14,2,Permanent,https://esd.wa.gov/about-employees/WARN
Superfresh,SUPERFRESH,Plainsboro,,NJ,,2013-01-11,89,,https://www.nj.gov/labor/employer-services/warn/
Superfresh,SUPERFRESH,Marlton,,NJ,,2013-01-11,48,,https://www.nj.gov/labor/employer-services/warn/
Superfresh,SUPERFRESH,Westmont,,NJ,,2013-01-11,98,,https://www.nj.gov/labor/employer-services/warn/
"Pacific Physicians' Laboratory, Inc.",PACIFIC PHYSICIANS' LABORATORY,Lynnwood,,WA,2013-01-09,2013-03-09,59,Permanent,https://esd.wa.gov/about-employees/WARN
Liberty Medical Supply,LIBERTY MEDICAL SUPPLY,Salem VA,,VA,2013-01-07,,186,,https://www.vec.virginia.gov/warn-notices
URS Federal Services,URS FEDERAL,Falls Church VA,,VA,2013-01-02,,24,Permanent Reduction,https://www.vec.virginia.gov/warn-notices
Home Care Industries Inc.,HOME CARE INDUSTRIES,LaCrosse VA,,VA,2013-01-02,,113,Closure,https://www.vec.virginia.gov/warn-notices
Myroslaw Choma MD PhD PA,MYROSLAW CHOMA MD PHD PA,Hillside,,NJ,,2013-01-01,4,,https://www.nj.gov/labor/employer-services/warn/
"D2L Associates, Inc.",D2L ASSOCIATES,Cedar Grove,,NJ,,2012-12-31,31,,https://www.nj.gov/labor/employer-services/warn/
The Children's Place,THE CHILDREN'S PLACE,Monroe,,NJ,,2012-12-31,86,,https://www.nj.gov/labor/employer-services/warn/
Atrium at Hamilton Park,ATRIUM AT HAMILTON PARK,Jersey City,,NJ,,2012-12-31,75,,https://www.nj.gov/labor/employer-services/warn/
Bristol Myers Squibb,BRISTOL MYERS SQUIBB,Plainsboro,,NJ,,2012-12-31,479,,https://www.nj.gov/labor/employer-services/warn/
Hamilton Park Health Care Center,HAMILTON PARK HEALTH CARE CENTER,Jersey City,,NJ,,2012-12-31,400,,https://www.nj.gov/labor/employer-services/warn/
"Hamilton Park Renal Dialysis, Inc.",HAMILTON PARK RENAL DIALYSIS,Jersey City,,NJ,,2012-12-31,27,,https://www.nj.gov/labor/employer-services/warn/
Virtua Medical Group,VIRTUA MEDICAL GROUP,Marlton,,NJ,,2012-12-31,445,,https://www.nj.gov/labor/employer-services/warn/
Wellness Center at Hamilton Park,WELLNESS CENTER AT HAMILTON PARK,Jersey City,,NJ,,2012-12-31,5,,https://www.nj.gov/labor/employer-services/warn/
Genuardi's,GENUARDI'S,Marlton,,NJ,,2012-12-29,94,,https://www.nj.gov/labor/employer-services/warn/
Skookum,SKOOKUM,Ft. Lewis,,WA,2012-12-27,2013-02-28,54,Temporary,https://esd.wa.gov/about-employees/WARN
Archstone,ARCHSTONE,Alexandria VA,,VA,2012-12-22,,69,Layoff,https://www.vec.virginia.gov/warn-notices
American Management Services (Pinnacle),AMERICAN MANAGEMENT (PINNACLE),Fort Belvoir (Fairfax County) VA,,VA,2012-12-21,,66,Closure,https://www.vec.virginia.gov/warn-notices
Life Care Center of West Seattle,LIFE CARE CENTER OF WEST SEATTLE,Seattle,,WA,2012-12-20,2013-01-31,99,Permanent,https://esd.wa.gov/about-employees/WARN
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Pierce County,,WA,2012-12-18,2013-02-15,127,Permanent,https://esd.wa.gov/about-employees/WARN
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Yakima,,WA,2012-12-18,2013-02-15,1,Permanent,https://esd.wa.gov/about-employees/WARN
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Port Angeles,,WA,2012-12-18,2013-02-15,2,Permanent,https://esd.wa.gov/about-employees/WARN
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Bremerton,,WA,2012-12-18,2013-02-15,5,Permanent,https://esd.wa.gov/about-employees/WARN
General Dynamics Information Technology Inc.,GENERAL DYNAMICS INFORMATION,Charlottesville VA,,VA,2012-12-17,,84,Permanent Reduction,https://www.vec.virginia.gov/warn-notices
Genuardi's,GENUARDI'S,Egg Harbor Township,,NJ,,2012-12-15,84,,https://www.nj.gov/labor/employer-services/warn/
Genuardi's,GENUARDI'S,Barnegat,,NJ,,2012-12-15,66,,https://www.nj.gov/labor/employer-services/warn/
"Sandoz, Inc.",SANDOZ,Princeton,,NJ,,2012-12-14,84,,https://www.nj.gov/labor/employer-services/warn/
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Everett,,WA,2012-12-14,2013-02-15,2,Permanent,https://esd.wa.gov/about-employees/WARN
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Oak Harbor,,WA,2012-12-14,2013-02-15,4,Permanent,https://esd.wa.gov/about-employees/WARN
TriWest Healthcare Alliance Corporation,TRIWEST HEALTHCARE ALLIANCE,Fairchild AFB,,WA,2012-12-14,2013-02-15,3,Permanent,https://esd.wa.gov/about-employees/WARN
Mundy Support Services LLC,MUNDY SUPPORT,Narrows VA,,VA,2012-12-13,,124,Layoff,https://www.vec.virginia.gov/warn-notices
La Plaza,LA PLAZA,Secaucus,,NJ,,2012-12-12,70,,https://www.nj.gov/labor/employer-services/warn/
Comcast,COMCAST,Union,,NJ,,2012-12-09,84,,https://www.nj.gov/labor/employer-services/warn/
Merck,MERCK,Kenilworth,,NJ,,2012-12-05,150,,https://www.nj.gov/labor/employer-services/warn/
CDI Marine Company,CDI MARINE,Portsmouth VA,,VA,2012-12-03,,55,Layoff,https://www.vec.virginia.gov/warn-notices
"A.F.L. Quality, Inc.",A F L QUALITY,Voorhees,,NJ,,2012-11-27,49,,https://www.nj.gov/labor/employer-services/warn/
AFL Quality NY LLC,AFL QUALITY NY,Secaucus,,NJ,,2012-11-27,14,,https://www.nj.gov/labor/employer-services/warn/
Masco Cabinetry,MASCO CABINETRY,Lakewood,,NJ,,2012-11-21,190,,https://www.nj.gov/labor/employer-services/warn/
TE Connectivity,TE CONNECTIVITY,Morristown,,NJ,,2012-11-19,20,,https://www.nj.gov/labor/employer-services/warn/
American Airlines,AMERICAN AIRLINES,Newark,,NJ,,2012-11-16,74,,https://www.nj.gov/labor/employer-services/warn/
Pactiv,PACTIV,Kearny,,NJ,,2012-11-16,79,,https://www.nj.gov/labor/employer-services/warn/
"Raymours Furniture Company, Inc., d/b/a Raymour & Flanigan",RAYMOURS FURNITURE D/B/A RAYMOUR FLANIGAN,Liverpool,,NJ,,2012-11-15,91,,https://www.nj.gov/labor/employer-services/warn/
Masco Cabinetry,MASCO CABINETRY,Atkins VA,,VA,2012-11-15,,280,Closure,https://www.vec.virginia.gov/warn-notices
Sears,SEARS,Lynchburg VA,,VA,2012-11-15,,5,Layoff,https://www.vec.virginia.gov/warn-notices
Smithfield,SMITHFIELD,Portsmouth VA,,VA,2012-11-12,,388,Closure,https://www.vec.virginia.gov/warn-notices
Comcast,COMCAST,Union,,NJ,,2012-11-09,66,,https://www.nj.gov/labor/employer-services/warn/
Northrop Grumman,NORTHROP GRUMMAN,Mount Laurel,,NJ,,2012-11-06,61,,https://www.nj.gov/labor/employer-services/warn/
JELD-WEN-rescinded,JELD-WEN-RESCINDED,Christianburg VA,,VA,2012-11-06,,138,Closure,https://www.vec.virginia.gov/warn-notices
Target,TARGET,Manasas VA,,VA,2012-11-05,,80,Closure,https://www.vec.virginia.gov/warn-notices
SAIC,SAIC,Charlottesville VA,,VA,2012-11-01,,80,Layoff,https://www.vec.virginia.gov/warn-notices
AGA Service Company dba Allianz Global Assistance,AGA SERVICE DBA ALLIANZ GLOBAL ASSISTANCE,Richmond VA,,VA,2012-11-01,,139,Closure,https://www.vec.virginia.gov/warn-notices
BAE Systems,BAE SYSTEMS,Keyport,,WA,2012-10-31,2012-12-27,57,Permanent,https://esd.wa.gov/about-employees/WARN
Hoffman-La Roche (Roche),HOFFMAN-LA ROCHE (ROCHE),Nutley,,NJ,,2012-10-30,1000,,https://www.nj.gov/labor/employer-services/warn/
DuPont,DUPONT,Chesterfield County VA,,VA,2012-10-30,,64,Layoff,https://www.vec.virginia.gov/warn-notices
"Semiahmoo Resort Company, LLC",SEMIAHMOO RESORT,Blaine,,WA,2012-10-30,2012-12-31,224,Permanent,https://esd.wa.gov/about-employees/WARN
SRA International Inc.,SRA INTERNATIONAL,Arlington VA,,VA,2012-10-29,,222,Layoff,https://www.vec.virginia.gov/warn-notices
Henkel-Harris,HENKEL-HARRIS,Winchester VA,,VA,2012-10-29,,122,Closure,https://www.vec.virginia.gov/warn-notices
Staples,STAPLES,Monroe,,NJ,,2012-10-26,110,,https://www.nj.gov/labor/employer-services/warn/
Wyle,WYLE,McLean VA,,VA,2012-10-26,,60,Layoff,https://www.vec.virginia.gov/warn-notices
"Clopay Building Products Company, Inc.",CLOPAY BUILDING PRODUCTS,Auburn,,WA,2012-10-25,2013-01-25,55,Permanent,https://esd.wa.gov/about-employees/WARN
SEARS,SEARS,Lynchburg VA,,VA,2012-10-23,,71,Layoff,https://www.vec.virginia.gov/warn-notices
"Citigroup Technology, Inc.",CITIGROUP,Weekhawken,,NJ,,2012-10-19,88,,https://www.nj.gov/labor/employer-services/warn/
Strayer University,STRAYER UNIVERSITY,Chantilly VA,,VA,2012-10-15,,61,Closure,https://www.vec.virginia.gov/warn-notices
Elizabeth Detention Center aka CorrectionsCorporation of America,ELIZABETH DETENTION CENTER AKA CORRECTIONSCORPORATION OF AMERICA,Elizabeth,,NJ,,2012-10-13,148,,https://www.nj.gov/labor/employer-services/warn/
Papetti's Hygrade Egg Products,PAPETTI'S HYGRADE EGG PRODUCTS,Elizabeth,,NJ,,2012-10-12,57,,https://www.nj.gov/labor/employer-services/warn/
Kurz-Kasch Inc.,KURZ-KASCH,South Boston VA,,VA,2012-10-11,,59,Closure,https://www.vec.virginia.gov/warn-notices
Money Mailer LLC,MONEY MAILER,Franklin VA,,VA,2012-10-08,,72,Closure,https://www.vec.virginia.gov/warn-notices
Draper Valley Holdings LLC,DRAPER VALLEY HOLDINGS,Renton,,WA,2012-10-08,2012-12-07,66,Permanent,https://esd.wa.gov/about-employees/WARN
"Central Lobby, LLC",CENTRAL LOBBY,Atlantic City,,NJ,,2012-10-07,120,,https://www.nj.gov/labor/employer-services/warn/
BAE Systems Technology Solutions & Services Inc.,BAE SYSTEMS,Newport News VA,,VA,2012-10-05,,77,Layoff,https://www.vec.virginia.gov/warn-notices
ARAMARK Sports and Entertainment Services LLC,ARAMARK SPORTS AND ENTERTAINMENT,Luray VA,,VA,2012-10-02,,228,Closure,https://www.vec.virginia.gov/warn-notices
URS Federal Services,URS FEDERAL,Oak Harbor,,WA,2012-09-25,2012-10-31,236,Permanent,https://esd.wa.gov/about-employees/WARN
"American Airlines, Inc.",AMERICAN AIRLINES,Newark,,NJ,,2012-09-21,2,,https://www.nj.gov/labor/employer-services/warn/
Dendreon Corporation,DENDREON,Seattle,,WA,2012-09-20,2012-11-20,145,Permanent,https://esd.wa.gov/about-employees/WARN
Alpha Natural Resources,ALPHA NATURAL RESOURCES,Appalachia VA,,VA,2012-09-18,,110,,https://www.vec.virginia.gov/warn-notices
American Airlines,AMERICAN AIRLINES,Seattle,,WA,2012-09-18,2012-11-16,66,Permanent,https://esd.wa.gov/about-employees/WARN
MissaBay,MISSABAY,Swedesboro,,NJ,,2012-09-17,305,,https://www.nj.gov/labor/employer-services/warn/
On Time Staffing,ON TIME STAFFING,Camden,,NJ,,2012-09-17,50,,https://www.nj.gov/labor/employer-services/warn/
American Airlines,AMERICAN AIRLINES,Chantilly VA,,VA,2012-09-17,,48,Layoff,https://www.vec.virginia.gov/warn-notices
"Catalent CTS (Kansas City), LLC",CATALENT CTS (KANSAS CITY),Mount Laurel,,NJ,,2012-09-14,97,,https://www.nj.gov/labor/employer-services/warn/
"Cadent, Inc.",CADENT,Carlstadt,,NJ,,2012-09-12,106,,https://www.nj.gov/labor/employer-services/warn/
Flour,FLOUR,Richmond VA,,VA,2012-09-12,,184,,https://www.vec.virginia.gov/warn-notices
Berry Plastics Corporation,BERRY PLASTICS,Kent,,WA,2012-09-10,2012-08-24,59,Permanent,https://esd.wa.gov/about-employees/WARN
"Colgan Air, Inc.",COLGAN AIR,Newark,,NJ,,2012-09-09,195,,https://www.nj.gov/labor/employer-services/warn/
GenOn,GENON,Alexandria VA,,VA,2012-09-06,,49,Closure,https://www.vec.virginia.gov/warn-notices
URS,URS,Virginia Beach VA,,VA,2012-09-06,,204,Layoff,https://www.vec.virginia.gov/warn-notices
Daimler Buses North America,DAIMLER BUSES NORTH AMERICA,Secaucus,,NJ,,2012-08-28,7,,https://www.nj.gov/labor/employer-services/warn/
Regional Elite,REGIONAL ELITE,Roanoke VA,,VA,2012-08-24,,38,Closure,https://www.vec.virginia.gov/warn-notices
Aer Lingus,AER LINGUS,Dulles VA,,VA,2012-08-24,,62,,https://www.vec.virginia.gov/warn-notices
General Dynamics Land Systems,GENERAL DYNAMICS LAND SYSTEMS,Woodbridge VA,,VA,2012-08-23,,44,,https://www.vec.virginia.gov/warn-notices
AREVA Federal Services LLC,AREVA FEDERAL,Richland,,WA,2012-08-21,2012-08-15,5,Permanent,https://esd.wa.gov/about-employees/WARN
Federal Mogul,FEDERAL MOGUL,Winchester VA,,VA,2012-08-10,,129,Closure,https://www.vec.virginia.gov/warn-notices
Dove Vinyl Windows,DOVE VINYL WINDOWS,Dublin VA,,VA,2012-08-08,,52,Closure,https://www.vec.virginia.gov/warn-notices
Harland Clarke Holdings Corp.,HARLAND CLARKE HOLDINGS,Milton,,WA,2012-08-06,2012-10-09,35,Permanent,https://esd.wa.gov/about-employees/WARN
Genuardi's,GENUARDI'S,cherry hill,,NJ,,2012-08-04,78,,https://www.nj.gov/labor/employer-services/warn/
Masterbrand Cabinets Inc.,MASTERBRAND CABINETS,Martinsville VA,,VA,2012-08-03,,345,Closure,https://www.vec.virginia.gov/warn-notices
G4S Government Solutionas  Inc.,G4S GOVERNMENT SOLUTIONAS,Fort Belvoir VA,,VA,2012-08-02,,98,Layoff,https://www.vec.virginia.gov/warn-notices
G4S Government Solutions Inc.,G4S GOVERNMENT,Fort Lee VA,,VA,2012-08-02,,68,Layoff,https://www.vec.virginia.gov/warn-notices
Auburn Regional Medical Center,AUBURN REGIONAL MEDICAL CENTER,Auburn,,WA,2012-08-01,2012-09-28,827,Permanent,https://esd.wa.gov/about-employees/WARN
Quality Packaging Specialist International LLC,QUALITY PACKAGING SPECIALIST INTERNATIONAL,Moonachie,,NJ,,2012-07-31,160,,https://www.nj.gov/labor/employer-services/warn/
C3i,C3I,Denville,,NJ,,2012-07-31,46,,https://www.nj.gov/labor/employer-services/warn/
Golden Living,GOLDEN LIVING,Richmond VA,,VA,2012-07-30,,42,Closure,https://www.vec.virginia.gov/warn-notices
BAE Systems Technology Solutions & Services Inc.,BAE SYSTEMS,Newport News VA,,VA,2012-07-24,,76,Layoff,https://www.vec.virginia.gov/warn-notices
EMBA Distributors (Vasaturo Brothers),EMBA DISTRIBUTORS (VASATURO BROTHERS),Edison,,NJ,,2012-07-20,100,,https://www.nj.gov/labor/employer-services/warn/
Universal Lumpers,UNIVERSAL LUMPERS,Auburn,,WA,2012-07-19,2012-09-24,97,Permanent,https://esd.wa.gov/about-employees/WARN
"Thales Avionics, Inc.",THALES AVIONICS,Seattle,,WA,2012-07-16,2012-09-14,42,Permanent,https://esd.wa.gov/about-employees/WARN
Seattle Hilton Hotel,SEATTLE HILTON HOTEL,Seattle,,WA,2012-07-05,2012-09-03,141,Permanent,https://esd.wa.gov/about-employees/WARN
Hostess Brands,HOSTESS BRANDS,Neptune,,NJ,,2012-07-03,42,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands,HOSTESS BRANDS,Carlstadt,,NJ,,2012-07-03,70,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands,HOSTESS BRANDS,Bellmawr,,NJ,,2012-07-03,32,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands,HOSTESS BRANDS,Westville,,NJ,,2012-07-03,3,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands,HOSTESS BRANDS,Pleasantville,,NJ,,2012-07-03,16,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands,HOSTESS BRANDS,Wayne,,NJ,,2012-07-03,320,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands,HOSTESS BRANDS,Hamilton,,NJ,,2012-07-03,24,,https://www.nj.gov/labor/employer-services/warn/
Hostess Brands4,HOSTESS BRANDS4,Somerset,,NJ,,2012-07-03,56,,https://www.nj.gov/labor/employer-services/warn/
CME Group,CME GROUP,Monmouth Junction,,NJ,,2012-07-02,110,,https://www.nj.gov/labor/employer-services/warn/
Mountainside Hospital,MOUNTAINSIDE HOSPITAL,Montclair,,NJ,,2012-07-01,1575,,https://www.nj.gov/labor/employer-services/warn/
MetLife,METLIFE,Morristown,,NJ,,2012-06-30,496,,https://www.nj.gov/labor/employer-services/warn/
Centerplate,CENTERPLATE,Newark,,NJ,,2012-06-29,643,,https://www.nj.gov/labor/employer-services/warn/
MDV,MDV,Norfolk VA,,VA,2012-06-28,,18,Layoff,https://www.vec.virginia.gov/warn-notices
Southeast Service Corporation d/b/a SSC Service Solution,SOUTHEAST SERVICE D/B/A SSC SERVICE SOLUTION,McLean VA,,VA,2012-06-22,,90,Layoff,https://www.vec.virginia.gov/warn-notices
National Food Corporation,NATIONAL FOOD,Everett,,WA,2012-06-22,2012-08-24,75,Permanent,https://esd.wa.gov/about-employees/WARN
Xanodyne Pharmaceuticals Inc.,XANODYNE PHARMACEUTICALS,Powhatan VA,,VA,2012-06-21,,1,Layoff,https://www.vec.virginia.gov/warn-notices
Parsons,PARSONS,Pasco,,WA,2012-06-20,2012-08-19,103,Permanent,https://esd.wa.gov/about-employees/WARN
"Gussco Manufacturing, LLC",GUSSCO MANUFACTURING,Cedar Grove,,NJ,,2012-06-16,102,,https://www.nj.gov/labor/employer-services/warn/
"Publishers Circulation Fulfillment, Inc.",PUBLISHERS CIRCULATION FULFILLMENT,Rockleigh,,NJ,,2012-06-15,80,,https://www.nj.gov/labor/employer-services/warn/
Dilliards Inc,DILLIARDS,Colonial Heights VA,,VA,2012-06-11,,59,Closure,https://www.vec.virginia.gov/warn-notices
Summit Medical Group,SUMMIT MEDICAL GROUP,Berkeley Heights,,NJ,,2012-06-09,7,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2012-06-08,5,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2012-06-08,93,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2012-06-08,35,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2012-06-08,1380,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2012-06-08,45,,https://www.nj.gov/labor/employer-services/warn/
Novartis Pharmaceuticals Corporation,NOVARTIS PHARMACEUTICALS,East Hanover,,NJ,,2012-06-08,27,,https://www.nj.gov/labor/employer-services/warn/
Strauss Auto,STRAUSS AUTO,South River,,NJ,,2012-06-04,384,,https://www.nj.gov/labor/employer-services/warn/
IAP Worldwide Services,IAP WORLDWIDE,Ft. Belvoir VA,,VA,2012-06-04,,185,,https://www.vec.virginia.gov/warn-notices
Sterling Bank (First Independent Bank),STERLING BANK (FIRST INDEPENDENT BANK),Vancouver,,WA,2012-06-04,2012-08-03,63,Permanent,https://esd.wa.gov/about-employees/WARN
Saint Clare's Health System,SAINT CLARE'S HEALTH SYSTEM,Denville,,NJ,,2012-06-01,31,,https://www.nj.gov/labor/employer-services/warn/
ATK Energetic Systems,ATK ENERGETIC SYSTEMS,Radford VA,,VA,2012-06-01,,614,Layoff,https://www.vec.virginia.gov/warn-notices
Golden West Foods,GOLDEN WEST FOODS,Bedford VA,,VA,2012-05-30,,119,Closure,https://www.vec.virginia.gov/warn-notices
RG Steel LLC,RG STEEL,Emporia VA,,VA,2012-05-23,,10,Layoff,https://www.vec.virginia.gov/warn-notices
