employer,normalized,city,county,state,noticeDate,effectiveDate,employees,layoffType,sourceUrl
Hotel Mahwah dba Sheraton Mahwah,HOTEL MAHWAH DBA SHERATON MAHWAH,Mahwah,,NJ,,2023-12-15,91,,https://www.nj.gov/labor/employer-services/warn/
The International Paper Company Sabine Railroad,THE INTERNATIONAL PAPER SABINE RAILROAD,Orange,Orange,TX,2023-12-11,2024-02-06,12,,https://data.texas.gov/d/8w53-c4f6
Masonite Coorporation,MASONITE COORPORATION,Greenville,Hunt,TX,2023-12-07,2023-12-06,75,,https://data.texas.gov/d/8w53-c4f6
"Omron Microscan Systems, Inc.",OMRON MICROSCAN SYSTEMS,Renton,,WA,2023-12-07,2024-02-02,57,Permanent,https://esd.wa.gov/about-employees/WARN
Zulily LLC,ZULILY,Seattle,,WA,2023-12-07,2024-02-07,292,Permanent,https://esd.wa.gov/about-employees/WARN
Granite Peak Fabrication,GRANITE PEAK FABRICATION,Midland,Midland,TX,2023-12-04,2024-02-02,89,,https://data.texas.gov/d/8w53-c4f6
DHL Supply Chain - Sugar Land,DHL SUPPLY CHAIN - SUGAR LAND,Sugar Land,Fort Bend,TX,2023-12-04,2024-01-31,10,,https://data.texas.gov/d/8w53-c4f6
DHL Supply Chain - Missouri City,DHL SUPPLY CHAIN - MISSOURI CITY,Missouri City,Fort Bend,TX,2023-12-04,2023-12-04,50,,https://data.texas.gov/d/8w53-c4f6
"Matheson Flight Extenders, Inc.",MATHESON FLIGHT EXTENDERS,Grapevine,Tarrant,TX,2023-12-04,2024-01-31,92,,https://data.texas.gov/d/8w53-c4f6
Vmware Inc. River Place),VMWARE RIVER PLACE),Austin,Travis,TX,2023-12-01,2024-01-26,577,,https://data.texas.gov/d/8w53-c4f6
Portland - Site,PORTLAND - SITE,Portland,,OR,2023-12-01,2024-01-31,62,Permanent closure,https://data.oregon.gov/d/ijbz-jpx8
Hunterdon Brewing Company LLC,HUNTERDON BREWING,White House Station,,NJ,,2023-12-01,143,,https://www.nj.gov/labor/employer-services/warn/
Bandier Texas LLC.,BANDIER TEXAS,Dallas,Dallas,TX,2023-11-27,2023-11-22,9,,https://data.texas.gov/d/8w53-c4f6
Covenant Aviation Security(George Bush Airport),COVENANT AVIATION SECURITY(GEORGE BUSH AIRPORT),Houston,Harris,TX,2023-11-27,2023-12-06,64,,https://data.texas.gov/d/8w53-c4f6
Covenant Aviation Security (Hobby Airport),COVENANT AVIATION SECURITY (HOBBY AIRPORT),Houston,Harris,TX,2023-11-27,2023-12-06,39,,https://data.texas.gov/d/8w53-c4f6
Cognizant Technology Solutions (Riata),COGNIZANT (RIATA),Austin,Travis,TX,2023-11-27,2023-12-08,65,,https://data.texas.gov/d/8w53-c4f6
Broadcom Inc.,BROADCOM,Reston VA,,VA,2023-11-27,,116,Layoff,https://www.vec.virginia.gov/warn-notices
Broadcom Inc.,BROADCOM,Bellevue,,WA,2023-11-27,2024-01-26,158,Permanent,https://esd.wa.gov/about-employees/WARN
Novartis Pharmaceuticals,NOVARTIS PHARMACEUTICALS,Hanover,,NJ,,2023-11-24,103,,https://www.nj.gov/labor/employer-services/warn/
T Mobile USA Inc.,T MOBILE,Various locations throughout NJ,,NJ,,2023-11-23,50,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Middletown,,NJ,,2023-11-23,12,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Bedminister,,NJ,,2023-11-23,29,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Paramus,,NJ,,2023-11-23,20,,https://www.nj.gov/labor/employer-services/warn/
AT&T,AT T,Trenton,,NJ,,2023-11-23,1,,https://www.nj.gov/labor/employer-services/warn/
Nestle USA Inc.,NESTLE,Freehold,,NJ,,2023-11-17,210,,https://www.nj.gov/labor/employer-services/warn/
Labcorp Early Development Laboratories Inc.,LABCORP EARLY DEVELOPMENT LABORATORIES,Somerset,,NJ,,2023-11-17,78,,https://www.nj.gov/labor/employer-services/warn/
KeHE Distributors Inc.,KEHE DISTRIBUTORS,Remote Workers in NJ,,NJ,,2023-11-15,13,,https://www.nj.gov/labor/employer-services/warn/
CVS Health,CVS HEALTH,Various locations throughout NJ,,NJ,,2023-11-15,207,,https://www.nj.gov/labor/employer-services/warn/
John Wiley & Sons,JOHN WILEY SONS,Hoboken,,NJ,,2023-11-15,103,,https://www.nj.gov/labor/employer-services/warn/
ADT Solar (Dallas),ADT SOLAR (DALLAS),Dallas,Dallas,TX,2023-11-13,2023-11-10,53,,https://data.texas.gov/d/8w53-c4f6
Hyliion Inc,HYLIION,Cedar Park,Williamson,TX,2023-11-10,2023-11-08,150,,https://data.texas.gov/d/8w53-c4f6
CVS Health (Irving),CVS HEALTH (IRVING),Irving,Dallas,TX,2023-11-08,2023-12-30,2,,https://data.texas.gov/d/8w53-c4f6
Whole Food Market (Midtown Houston),WHOLE FOOD MARKET (MIDTOWN HOUSTON),Houston,Harris,TX,2023-11-08,2023-12-05,110,,https://data.texas.gov/d/8w53-c4f6
CVS Health (Richardson),CVS HEALTH (RICHARDSON),Richardson,Dallas,TX,2023-11-08,2023-12-31,2,,https://data.texas.gov/d/8w53-c4f6
CMA CGM (America) LLC,CMA CGM (AMERICA),Dallas,Tarrant,TX,2023-11-08,2023-12-12,64,,https://data.texas.gov/d/8w53-c4f6
10 Roads Express LLC.,10 ROADS EXPRESS,Fort Worth,Tarrant,TX,2023-11-08,2023-10-16,66,,https://data.texas.gov/d/8w53-c4f6
Nordstrom Quality Center,NORDSTROM QUALITY CENTER,Tukwila,,WA,2023-11-08,2024-02-01,67,Permanent,https://esd.wa.gov/about-employees/WARN
"Alpha Technologies Services, Inc.",ALPHA,Spokane Valley,,WA,2023-11-08,2024-01-17,77,Permanent,https://esd.wa.gov/about-employees/WARN
Divvy Homes,DIVVY HOMES,Remote Locations Throughout NJ,,NJ,,2023-11-07,53,,https://www.nj.gov/labor/employer-services/warn/
Walmart #1258,WALMART #1258,Fort Worth,Tarrant,TX,2023-11-06,2023-02-09,363,,https://data.texas.gov/d/8w53-c4f6
Raytheon Technologies,RAYTHEON,Dallas,Dallas,TX,2023-11-06,2023-01-05,34,,https://data.texas.gov/d/8w53-c4f6
Advance Care Hospice,ADVANCE CARE HOSPICE,North Chesterfield VA,,VA,2023-11-06,,10,Layoff,https://www.vec.virginia.gov/warn-notices
Advance Care Home Health,ADVANCE CARE HOME HEALTH,North Chesterfield VA,,VA,2023-11-06,,46,Layoff,https://www.vec.virginia.gov/warn-notices
Great Minds,GREAT MINDS,Richmond VA,,VA,2023-11-03,,79,Layoff,https://www.vec.virginia.gov/warn-notices
Bristol Myers Squibb,BRISTOL MYERS SQUIBB,"Lawrence, Princeton, Berkeley Heights, Pennington, New Brunswick",,NJ,,2023-11-02,108,,https://www.nj.gov/labor/employer-services/warn/
Ball Advanced Aluminum Technologies,BALL ADVANCED ALUMINUM,Verona VA,,VA,2023-11-01,,73,Closure,https://www.vec.virginia.gov/warn-notices
Americal Medical Response Moses Lake,AMERICAL MEDICAL RESPONSE MOSES LAKE,Moses Lake,,WA,2023-11-01,2024-01-02,17,Permanent,https://esd.wa.gov/about-employees/WARN
PVA Downtown,PVA DOWNTOWN,San Antonio,Bexar,TX,2023-10-31,2023-12-04,20,,https://data.texas.gov/d/8w53-c4f6
PVA Medical Center,PVA MEDICAL CENTER,San Antonio,Bexar,TX,2023-10-31,2023-12-04,10,,https://data.texas.gov/d/8w53-c4f6
Builders FirstSource (Grandview),BUILDERS FIRSTSOURCE (GRANDVIEW),Grandview,Johnson,TX,2023-10-31,2023-12-30,76,,https://data.texas.gov/d/8w53-c4f6
Ag-Mart Produce Inc,AG-MART PRODUCE,Cedarville,,NJ,,2023-10-31,15,,https://www.nj.gov/labor/employer-services/warn/
